-22528	1
-21504	8
-20480	17
-19456	19
-18432	47
-17408	93
-16384	189
-15360	390
-14336	669
-13312	1264
-12288	2237
-11264	4089
-10240	7148
-9216	12169
-8192	19276
-7168	29924
-6144	44433
-5120	62268
-4096	83761
-3072	107810
-2048	133116
-1024	148743
0	147414
1024	128284
2048	105468
3072	80346
4096	59354
5120	41126
6144	28091
7168	18672
8192	11463
9216	7064
10240	4069
11264	2273
12288	1338
13312	740
14336	374
15360	181
16384	112
17408	67
18432	42
19456	20
20480	7
21504	6
22528	2
23552	1
24576	2
25600	1
